i	xhat	x_rek	x_srk	x_gerk_ad
432	0	0.0204959502067078	-0	-0
433	0	0.0512663720379021	0	0
434	0	0.00256962669367563	0	0
435	0	0.0297152853594973	0.456827853835545	0
436	0	-0.0478550890770952	-0	-0
437	0	-0.0936081978655781	-0	0
438	0	-0.102392873637054	-0	-0
439	0	-0.0664608029168092	-0	-0
440	0	0.0935909468435895	-0.81820797698316	0
441	0	-0.147888985503937	-0	-0
442	0	0.0662099474417063	0	-0
443	0	0.0325755212882632	0	-0
444	0	0.0428915681397716	0	0
445	0	0.125405937942483	0	-0
446	0	0.0333691739362808	0.763538126267591	0
447	0	-0.0248054931402408	-0	-0
448	0	0.0588806459522388	0	0
449	-0.13844401395598	-0.0165216896065243	-0	-0.138130799405809
450	0	-0.072128230121515	0	-0
451	0	0.0509986803457098	0	0
452	0	0.0647055719944166	0	0
453	0	-0.0421490330975009	-0	-0
454	0	-0.0418084397849879	0.211628498731569	-0
455	0	-0.0153871613894456	0	0
456	0	-0.0276435530091075	-0	-0
457	0	0.0759495868245867	-1.6972227749058	0
458	0	-0.0457269443283547	-0	-0
459	0	0.108695920523335	0.953268615187627	0
460	0	-0.00869168076346032	-0	-0
461	0	0.143520937650914	0	-0
462	0	-0.0826986888574794	-0	-0
463	0.42533973498641	0.175960341091364	0.161882570858401	0.424986009976235
464	0	0.0584606690422618	0	-0
465	0	0.0242730295443616	-1.09410912533242	0
466	0	-0.0531428365763876	-0	0
467	0	-0.0528265897359521	-0	0
468	-0.0966423221474193	-0.0327766712363807	-0	-0.0966011261613513
469	0	0.123386128374963	-0	0
470	0	-0.0405781484882519	0	0
471	0	-0.215358532302553	0	-0
472	0	0.0264007760655151	-0	-0
473	0	0.0326525809312889	-0	0
474	0	0.0152651550497029	-0	0
475	0	-0.0657707067585976	0	-0
476	0	0.00416588074306175	0	0
477	0	0.117541346084771	0	0
478	0	-0.0326572263537413	0	0
479	0	0.124207886100252	0	0
480	0	0.034676893304842	-0	0
481	0	0.0677535098563153	0	0
482	0	-0.0688443155724553	-0	0
483	0	0.0225877545705576	-0	-0
484	0	0.0775825870880229	-0	0
485	0	0.0627063568886238	-0	0
486	0	-0.125565531550754	0	-0
487	0	0.0413862363239016	0	0
488	0	-0.0763404805002252	-0	-0
489	0	-0.166396442684383	-0	-0
490	0	-0.074031802460013	-0	-0
491	0	-0.0174864911148655	-0	-0
492	0	-0.0402557045356925	0	0
493	0	-0.0905245993528228	-0	-0
494	0	0.0476401926225946	0	0
495	0	0.00531002478149557	0	0
496	0	-0.121573603224036	-0	-0
497	0	0.00374940556042868	-0.511380255266799	-0
498	0	-0.0272010893365108	0	0
499	0	0.133657706480869	-1.65581716604037	0
500	0	0.049263538572875	-0.0926390530885266	0
